Year,GDP Nominal (Current USD),GDP Real  (Inflation adj.),GDP change,GDP per capita,Pop. change,Population
1993,"$158,007,000,000","$327,286,000,000",6.50%,"$1,707",1.69 %,"191,737,287"
1994,"$176,892,000,000","$351,964,000,000",7.54%,"$1,806",1.66 %,"194,928,533"
1995,"$202,132,000,000","$380,895,000,000",8.22%,"$1,922",1.65 %,"198,140,162"
1996,"$227,370,000,000","$410,674,000,000",7.82%,"$2,039",1.63 %,"201,373,791"
1997,"$215,749,000,000","$429,975,000,000",4.70%,"$2,101",1.62 %,"204,628,007"
1998,"$95,445,547,873","$373,534,000,000",-13.13%,"$1,797",1.58 %,"207,855,486"
1999,"$140,001,000,000","$376,489,000,000",0.79%,"$1,784",1.51 %,"210,996,910"
2000,"$165,021,000,000","$395,012,000,000",4.92%,"$1,845",1.46 %,"214,072,421"
2001,"$160,447,000,000","$409,405,000,000",3.64%,"$1,886",1.42 %,"217,112,437"
2002,"$195,661,000,000","$427,826,000,000",4.50%,"$1,944",1.38 %,"220,115,092"
2003,"$234,772,000,000","$448,277,000,000",4.78%,"$2,009",1.35 %,"223,080,121"
2004,"$256,837,000,000","$470,829,000,000",5.03%,"$2,084",1.28 %,"225,938,595"
2005,"$285,869,000,000","$497,632,000,000",5.69%,"$2,175",1.27 %,"228,805,144"
2006,"$364,571,000,000","$525,006,000,000",5.50%,"$2,265",1.31 %,"231,797,427"
2007,"$432,217,000,000","$558,318,000,000",6.35%,"$2,377",1.32 %,"234,858,289"
2008,"$510,229,000,000","$591,894,000,000",6.01%,"$2,488",1.31 %,"237,936,543"
2009,"$539,580,000,000","$619,292,000,000",4.63%,"$2,570",1.28 %,"240,981,299"
2010,"$755,094,000,000","$657,835,000,000",6.22%,"$2,696",1.26 %,"244,016,173"
2011,"$892,969,000,000","$698,422,000,000",6.17%,"$2,826",1.26 %,"247,099,697"
2012,"$917,870,000,000","$740,538,000,000",6.03%,"$2,960",1.26 %,"250,222,695"
2013,"$912,524,000,000","$781,691,000,000",5.56%,"$3,086",1.22 %,"253,275,918"
2014,"$890,815,000,000","$820,828,000,000",5.01%,"$3,203",1.17 %,"256,229,761"
2015,"$860,854,000,000","$860,854,000,000",4.88%,"$3,323",1.12 %,"259,091,970"
2016,"$931,877,000,000","$904,182,000,000",5.03%,"$3,453",1.06 %,"261,850,182"
2017,"$1,015,620,000,000","$950,022,000,000",5.07%,"$3,592",1.01 %,"264,498,852"
2018,"$1,042,270,000,000","$999,179,000,000",5.17%,"$3,741",0.97 %,"267,066,843"
2019,"$1,119,100,000,000","$1,049,330,000,000",5.02%,"$3,892",0.94 %,"269,582,878"
2020,"$1,059,050,000,000","$1,027,660,000,000",-2.07%,"$3,780",0.84 %,"271,857,970"
2021,"$1,186,510,000,000","$1,065,710,000,000",3.70%,"$3,893",0.70 %,"273,753,191"
2022,"$1,319,100,000,000","$1,122,290,000,000",5.31%,"$4,074",0.64 %,"275,501,339"
