Provinsi,Produk Domestik Bruto/Produk Domestik Regional Bruto Atas Dasar Harga Berlaku (miliar rupiah) (Rp)
Aceh,166372.32
Sumatera Utara,811188.31
Sumatera Barat,241894.13
Riau,727599.47
Jambi,205081.99
Sumatera Selatan,454607.4
Bengkulu,73305.27
Lampung,353025.09
Kepulauan Bangka Belitung,75519.77
Kepulauan Riau,254095.35
DKI Jakarta,2767273.49
Jawa Barat,2082107.26
Jawa Tengah,1347222.49
DI Yogyakarta,138117.84
Jawa Timur,2299807.64
Banten,625895.38
Bali,224225.72
Nusa Tenggara Barat,133613.74
Nusa Tenggara Timur,106482.45
Kalimantan Barat,213950.35
Kalimantan Tengah,152187.39
Kalimantan Selatan,179162.02
Kalimantan Timur,607744.49
Kalimantan Utara,100423.21
Sulawesi Utara,132230.06
Sulawesi Tengah,197440.78
Sulawesi Selatan,504052.53
Sulawesi Tenggara,130107.27
Gorontalo,41729.89
Sulawesi Barat,46465.91
Maluku,46263.47
Maluku Utara,42298.87
Papua Barat,83588.64
Papua,199186.57
,
Catatan,
Perbedaan antara jumlah PDRB 34 Provinsi dan PDB Indonesia antara lain disebabkan oleh diskrepansi statistik.Data 2021: Angka sementaraData 2022: Angka sangat sementara,
The difference between the total of GRDP of 34 Provinces and the GDP of Indonesia due to the statistical discrepancies.Data 2021: Preliminary figuresData 2022: Very Preliminary figures,
