Year,GDP,tahundipake,GDPdipake
1967,5667756628,1999,1.40001E+11
1968,7076465300,2000,1.65021E+11
1969,8337423313,2001,1.60447E+11
1970,9150684932,2003,2.34772E+11
1971,9333536370,1998,95445547873
1972,10997590361,2002,1.95661E+11
1973,16273253012,1997,2.15749E+11
1974,25802409639,2004,2.56837E+11
1975,30463855422,2016,8.60854E+11
1976,37269156627,2009,5.3958E+11
1977,45808915663,2006,3.64571E+11
1978,51455719076,2007,4.32217E+11
1979,51400186343,2005,2.85869E+11
1980,72482337397,2008,5.10229E+11
1981,85518233419,2010,5.3958E+11
1982,90158449295,2018,1.01562E+12
1983,81052283384,2020,1.1191E+12
1984,84853700028,2015,8.90815E+11
1985,85289488375,2017,9.31877E+11
1986,79954072545,2011,7.55094E+11
1987,75929617558,2012,8.92969E+11
1988,84300174486,2021,1.05905E+12
1989,94451427877,2013,9.1787E+11
1990,1.06141E+11,2022,1.18651E+12
1991,1.16622E+11,2019,1.04227E+12
1992,1.28027E+11,2014,9.12524E+11
