Provinsi,Produk Domestik Bruto/Produk Domestik Regional Bruto Atas Dasar Harga Berlaku (miliar rupiah) (Rp)
Aceh,210418.36
Sumatera Utara,955193.09
Sumatera Barat,285376.46
Riau,991615.38
Jambi,276719.44
Sumatera Selatan,590067.1
Bengkulu,90111.95
Lampung,414131.42
Kepulauan Bangka Belitung,95295.6
Kepulauan Riau,308842.68
DKI Jakarta,3188539.02
Jawa Barat,2422782.32
Jawa Tengah,1559571.1
DI Yogyakarta,165718.44
Jawa Timur,2731358.78
Banten,747223.58
Bali,245362.88
Nusa Tenggara Barat,156942.67
Nusa Tenggara Timur,118718.2
Kalimantan Barat,255797.28
Kalimantan Tengah,199783.37
Kalimantan Selatan,251229.5
Kalimantan Timur,921450.99
Kalimantan Utara,138674.96
Sulawesi Utara,157039.46
Sulawesi Tengah,323630.28
Sulawesi Selatan,605148.86
Sulawesi Tenggara,158800.27
Gorontalo,47569.65
Sulawesi Barat,54078.35
Maluku,54057.97
Maluku Utara,70902.61
Papua Barat,91292.02
Papua Barat Daya,
Papua,262519.79
Papua Selatan,
Papua Tengah,
Papua Pegunungan,
,
Catatan,
Perbedaan antara jumlah PDRB 34 Provinsi dan PDB Indonesia antara lain disebabkan oleh diskrepansi statistik.Data 2022: Angka sementaraData 2023: Angka sangat sementara,
