Provinsi,Produk Domestik Bruto/Produk Domestik Regional Bruto Atas Dasar Harga Berlaku (miliar rupiah) (Rp)
Aceh,145806.92
Sumatera Utara,684634.43
Sumatera Barat,213893.47
Riau,704705.03
Jambi,189787.72
Sumatera Selatan,382885.7
Bengkulu,60657.68
Lampung,306700.43
Kepulauan Bangka Belitung,69865.21
Kepulauan Riau,227706.88
DKI Jakarta,2365353.86
Jawa Barat,1788117.36
Jawa Tengah,1172794.52
DI Yogyakarta,119128.72
Jawa Timur,2012917.99
Banten,563597.7
Bali,213035.86
Nusa Tenggara Barat,123822.76
Nusa Tenggara Timur,90758.93
Kalimantan Barat,177493.65
Kalimantan Tengah,125817.07
Kalimantan Selatan,159104.56
Kalimantan Timur,591903.49
Kalimantan Utara,76927.57
Sulawesi Utara,110116.73
Sulawesi Tengah,133951.16
Sulawesi Selatan,415588.2
Sulawesi Tenggara,107423.45
Gorontalo,34537.68
Sulawesi Barat,39497.41
Maluku,39881.55
Maluku Utara,32272.57
Papua Barat,71785.93
Papua,188938.08
