x,y1,y2
0,1300,1300
1,1310,1299
2,1308,1299
3,1317,1296
4,1318,1302
5,1324,1307
6,1324,1305
7,1322,1309
8,1323,1313
9,1331,1313
10,1335,1320
11,1333,1326
12,1342,1327
13,1343,1333
14,1344,1334
15,1342,1337
16,1341,1338
17,1338,1343
18,1342,1347
19,1351,1345
20,1355,1343
21,1362,1347
22,1366,1345
23,1367,1351
24,1362,1348
25,1366,1347
26,1376,1344
27,1383,1351
28,1393,1358
29,1390,1361
30,1395,1361
31,1402,1364
32,1400,1366
33,1406,1366
34,1404,1368
35,1401,1371
36,1396,1373
37,1391,1377
38,1390,1381
39,1388,1387
40,1383,1393
41,1378,1397
42,1377,1397
43,1376,1402
44,1374,1406
45,1372,1413
46,1370,1420
47,1374,1421
48,1380,1418
49,1380,1416
50,1378,1421
51,1376,1419
52,1373,1420
53,1368,1426
54,1375,1431
55,1372,1435
56,1371,1438
57,1370,1444
58,1372,1441
59,1379,1444
60,1376,1446
61,1381,1443
62,1379,1442
63,1374,1443
64,1374,1440
65,1379,1445
66,1388,1442
67,1394,1439
68,1402,1438
69,1412,1441
70,1407,1439
71,1415,1438
72,1423,1443
